text;count;keyword
segala;433;0
air;432;0
beli;431;0
dua;430;0
in;429;0
bicara;426;0
kecil;424;0
dasar;422;0
ah;420;0
bkn;420;0
sok;419;0
daerah;416;0
swt;415;0
jaman;412;0
tv;411;0
selama;411;0
pilihan;410;1
pagi;410;0
bagus;409;0
mendukung;408;1
tni;408;1
asal;407;0
yah;406;0
2014;405;1
sbg;405;0
ahok;404;1
dimana;404;0
ni;404;0
jujur;399;0
pengen;399;0
sby;399;1
hti;399;0
lho;397;0
bahkan;397;0
tolong;397;0
dana;396;0
lewat;396;0
setiap;395;0
april;395;0
4;393;0
maju;393;0
insya;392;0
bawa;392;0
korupsi;391;1
main;388;0
koq;387;0
jae;385;0
tanya;385;0
loh;385;0
sabar;384;0
kaum;384;0
dki;381;1
terlalu;381;0
mampu;381;0
orang2;380;0
uninstalljokowi;380;1
demokrasi;380;1
sesuai;377;0
kek;377;0
malam;376;0
memilih;375;0
ku;375;0
tu;375;0
buka;374;0
mbah;373;0
kemenangan;373;0
tol;372;0
sebelum;372;0
tangan;372;0
tim;372;0
bpk;371;0
bagaimana;371;0
jawab;371;0
butuh;369;0
demo;369;0
datang;368;0
bendera;368;0
bayar;367;0
i;366;0
sholat;365;0
bahasa;364;0
sebelah;364;0
suruh;363;0
and;363;0
doang;361;0
nu;360;0
balik;359;0
foto;358;0
mohon;358;0
gila;357;0
tps;356;1
justru;356;0
seluruh;355;0
melakukan;355;0
habis;353;0
turun;353;0
mari;352;0
amat;350;0
kpd;349;1
ntar;348;0
susah;348;0
fakta;348;1
sejak;346;0
acara;346;0
bodoh;343;0
mba;343;0
gubernur;342;1
karna;341;0
pihak;340;0
cinta;340;0
wong;340;0
segera;336;0
keluar;335;0
sambil;334;0
kapan;334;0
knp;333;0
belajar;333;0
enak;332;0
is;331;0
17;331;0
klu;330;0
sering;330;0
penuh;330;0
mending;329;0
2019prabowopresiden;329;1
kepala;329;0
periode;328;0
fpi;328;1
urusan;328;0
waras;327;0
gua;327;0
panik;325;0
tanah;325;0
kasihan;324;0
nyata;323;0
ngerti;321;0
anggota;321;1
bung;320;0
sadar;319;0
oposisi;319;1
ri;318;1
termasuk;316;0
mak;316;0
jawa;315;1
tentang;314;0
hebat;313;0
sebenarnya;313;0
muka;312;0
wah;312;0
ketua;312;1
tua;309;0
tunggu;309;0
tempat;308;0
bila;307;0
itulah;307;0
emak;306;0
bebas;306;0
saling;306;0
sana;306;0
01jokowilagi;305;1
tinggi;305;0
aneh;303;0
ko;303;0
petahana;303;0
bgt;303;0
pancasila;303;1
kebenaran;302;0
tambah;301;0
01indonesiamaju;300;1
sejarah;300;0
kuat;298;0
kagak;297;0
mo;296;0
berjuang;296;0
contoh;296;0
menurut;295;0
artinya;294;0
anti;294;0
bpn;294;1
sontoloyo;293;0
dll;292;0
makmur;292;1
dilakukan;291;0
nonton;290;0
cepat;290;0
mikir;290;0
alloh;289;0
bulan;288;0
lucu;287;0
saveourdemocracy;287;1
jam;287;0
oh;286;0
mobil;286;0
kardus;286;0
ngak;285;0
ane;285;0
asli;284;0
212;283;1
ngaku;283;0
prestasi;283;0
prabowothenextleader;283;1
keadilan;281;1
teriak;281;0
program;281;1
dpr;280;1
negri;280;0
hahahaha;280;0
harusnya;279;0
lha;278;0
sampah;278;0
aman;278;0
akbar;278;0
damai;277;0
keras;276;0
goblok;275;0
muda;274;0
sukses;274;0
thn;273;0
berapa;273;0
jiwa;272;0
cm;272;0
kelompok;271;0
sekalian;271;0
indonesiacallsobservers;271;0
kekuasaan;271;1
gaji;271;0
dn;271;0
mudah;271;0
bangun;270;0
calon;269;0
nyinyir;269;0
10;269;0
daripada;268;0
tiap;268;0
tauhid;268;0
mantan;268;0
pks;267;1
orba;267;1
cuman;267;0
berkuasa;267;1
guru;267;0
ma;266;0
bantu;266;0
sini;264;0
bencana;264;1
fokus;264;1
tsb;263;0
isi;262;0
terhadap;262;0
kota;262;0
publik;262;0
pula;261;0
sj;261;0
hutang;260;0
neweraprabowosandi;260;1
bangga;260;0
kemarin;259;0
hingga;259;0
aparat;259;1
silahkan;259;0
papua;259;1
era;258;1
bela;258;0
pulang;258;0
juta;258;0
relawan;258;0
utang;257;1
awal;257;0
cawapres;256;1
pribadi;256;0
proses;256;0
mirip;256;0
wa;255;0
alasan;255;0
sayang;255;0
sebuah;255;0
hadir;254;0
kyai;254;1
milih;254;0
c1;254;1
arab;253;0
kebohongan;253;1
dri;253;0
yo;252;0
it;252;0
y;251;0
kpk;251;1
asing;251;0
terbukti;250;0
marah;250;0
berat;249;0
ustad;248;0
hak;248;0
pinter;248;0
min;248;0
kasian;248;0
thegreatcampaignofprabowo;247;1
diam;247;0
ngapain;247;0
mulut;247;0
tetep;246;0
pencitraan;246;1
wajib;246;0
jual;245;0
ketemu;245;0
china;244;1
surat;244;0
ratna;243;1
for;241;0
kalimat;241;0
an;240;0
menteri;239;1
nasi;239;0
kayaknya;238;0
kemana;238;0
maling;238;1
tagar;237;0
aksi;237;0
ambil;237;0
elu;236;0
wakil;236;0
setan;236;0
otaknya;236;0
e;236;0
perjuangan;236;0
pantas;236;0
jaga;234;0
medsos;234;0
7;234;0
inilah;233;0
caleg;233;1
bawaslu;233;1
sepertinya;232;0
maha;232;0
niat;231;0
istri;231;0
mukidi;231;0
penguasa;231;0
biarkan;231;0
paslon;231;0
desa;230;0
terbaik;229;0
dokter;229;0
cek;229;0
dibilang;229;0
bekerja;229;0
byk;228;0
puasa;228;0
he;227;0
rakyatnya;227;0
besok;227;0
biasanya;227;0
perang;225;0
perubahan;225;0
putih;224;0
ok;224;0
banser;223;0
parah;223;0
tentu;223;0
demokrat;223;0
sehingga;222;0
tidur;222;0
masak;222;0
pemerintahan;221;0
lagu;221;0
aq;221;0
terlihat;220;0
seharusnya;220;0
lakukan;220;0
ora;220;0
kah;220;0
bagian;220;0
bukannya;220;0
rs;219;0
survey;219;0
insyaallah;219;0
isu;219;0
ustadz;219;0
dikasih;219;0
bingung;218;0
habib;218;0
bahagia;218;0
memberikan;218;0
sekolah;217;0
hilang;217;0
dosa;217;0
banjir;217;0
kepentingan;216;0
bos;216;0
gerombolan;215;0
impor;215;0
haha;215;0
infrastruktur;215;1
netral;215;1
mahal;215;0
k;214;0
uu;213;0
tegas;213;0
yak;213;0
kira;213;0
jabatan;213;0
dukungan;212;0
koalisi;211;0
coblos;211;0
abang;211;0
kolam;211;0
jendral;211;1
hampir;210;0
uno;210;0
sang;210;0
ttp;210;0
alam;210;0
raja;210;0
100;210;0
anies;210;1
memberi;210;0
maruf;209;1
ikhlas;208;0
dukungprabowo;208;1
serius;207;0
jdi;207;0
sedikit;207;0
membangun;207;0
lapor;207;0
sibuk;207;0
bawah;207;0
al;206;0
kopi;206;0
kesalahan;206;0
petani;205;0
jari;205;0
yuk;205;0
nasional;204;1
cak;204;0
sungguh;203;0
uas;203;0
mmg;203;0
namun;203;0
kafir;203;0
donk;203;0
membela;203;0
saudara;203;0
heran;202;0
macam;202;0
on;202;0
senang;202;0
maksudnya;202;0
gus;201;0
beberapa;201;0
sandiaga;201;1
tersebut;201;0
jk;201;0
serta;201;0
tpi;201;0
supaya;200;0
melawan;200;0
hehehe;200;0
emak2;200;0
2018;200;0
imam;200;0
kebanyakan;199;0
wajar;199;0
allahu;199;0
pikir;199;0
polri;199;0
berbuat;199;0
tangkap;198;0
ngopi;198;0
bersih;198;0
solo;198;0
aj;198;0
tujuan;197;0
twitter;197;0
ndak;197;0
bnyk;197;0
