Kota,Paslon 1,Paslon 2,Total,Laju Pertumbuhan,Laki,Perempuan,Umur,Umur Squared,APM SD,APM SMP,APM SMA,Literate,TPAK,pendidikan_SD,pendidikan_SMP,pendidikan_SMA,pendidikan_Universitas,TK,SD,SMP,SMA,SMK,Universitas,Pengeluaran Bulanan,Persentase Kemiskinan,Indeks Pembangunan Manusia,DPT,Sentiment,Weighted Sentiment,Partisipasi
Kota Bandung,"620,555","866,384","1,486,939",0.17,"1,263,916","1,243,972",31.42988722,987.8378107,98.73,80,68,99.61,65.9,18.30638403,19.66382531,33.54787263,28.48191803,495,471,246,138,125,107,"1,974,339",3.38,81.62,"1,734,652",-0.29134,-0.798078799,0.857197294
Kota Cirebon,"103,878","93,136","197,014",0.82,"160,091","159,221",31.71511876,1005.848758,95.45,70.54,66.85,99.34,62.71,26.30131411,12.61076759,40.02402426,21.06389403,88,161,44,26,30,24,"1,495,050",8.41,74.92,"238,003",-0.29134,-0.798078799,0.827779482
Kota Bekasi,"617,185","751,461","1,368,646",1.3,"1,512,233","1,491,690",29.66848684,880.2191115,98.72,84.16,70.37,99.65,65.66,13.27987709,14.05783862,45.24655351,27.41573078,156,702,276,111,147,37,"2,147,104",3.81,81.59,"1,682,120",-0.29134,-0.798078799,0.813643497
Kota Depok,"462,228","615,615","1,077,843",3.28,"1,210,887","1,195,939",29.97282105,898.3700018,98.36,78.02,74.34,99.4,64.96,13.71489251,14.94315357,45.29886898,26.04308494,486,445,222,63,131,9,"2,027,984",2.07,80.82,"1,309,338",-0.29134,-0.798078799,0.823196913
Kota Cimahi,"120,182","213,739","333,921",1.07,"308,998","305,306",30.44709297,927.0254703,96.39,80.33,71.09,99.56,63.26,14.10663276,16.38848887,47.32912216,22.17575621,105,125,36,16,24,8,"1,755,952",4.39,78.11,"380,292",-0.29134,-0.798078799,0.87806475
Kota Tasikmalaya,"111,781","314,270","426,051",0.89,"333,321","330,196",31.2824434,978.5912653,94.59,81.31,70.3,99.86,65.26,38.54196669,19.16738673,32.60428571,9.686360863,96,227,73,27,51,14,"1,212,982",11.6,72.84,"484,389",-0.29134,-0.798078799,0.879563739
Kota Banjar,"63,027","55,648","118,675",0.74,"90,316","92,794",34.00816449,1156.555252,99.32,85.56,71.66,99.41,67.59,41.51747025,17.55162865,32.54877507,8.382126023,29,86,25,5,17,3,"976,593",5.5,71.75,"147,553",-0.29134,-0.798078799,0.804287273
Cilacap,"774,077","289,229","1,063,306",0.35,"865,031","862,067",33.14920459,1098.869765,98.71,84.39,59.82,95.298,65.34,47.83038372,25.33679526,21.43189521,5.400925808,367,1033,194,42,67,16,"878,312",10.73,69.98,"1,488,496",-0.240046667,-1.663089376,0.714349249
Banyumas,"790,604","274,621","1,065,225",2.72,"845,612","847,394",33.90890369,1149.813749,98.77,80.73,62.25,94.57,67.34,48.6120018,18.31540505,23.74581632,9.326776835,639,811,162,37,80,35,"1,032,843",12.53,71.96,"1,350,981",-0.240046667,-1.663089376,0.788482592
Purbalingga,"420,038","152,639","572,677",1.8,"461,281","472,708",33.90783943,1149.741575,95.64,79.82,55.51,95.65,68.14,50.13126552,23.94484332,19.09682614,6.82706502,270,469,77,16,34,2,"832,918",15.03,68.99,"752,211",-0.240046667,-1.663089376,0.761324947
Banjarnegara,"410,309","171,062","581,371",0.54,"462,405","460,787",33.64070854,1131.697271,96.75,76.53,51.76,91.16,70.09,56.95851159,19.61260862,15.91632412,7.512555675,306,617,98,12,26,6,"847,246",14.76,67.34,"784,170",-0.240046667,-1.663089376,0.741383884
Kebumen,"545,496","208,921","754,417",0.24,"596,388","601,594",34.85482311,1214.858694,98.98,80.36,71.1,94.51,68.72,48.48514341,20.01852411,25.5755936,5.920738888,591,751,117,23,68,10,"781,578",16.82,69.6,"1,072,708",-0.240046667,-1.663089376,0.70328272
Purworejo,"341,564","121,121","462,685",0.26,"354,084","364,232",36.5294,1334.397064,97.12,78.66,72.23,94.26,66.81,39.4156895,22.09175417,29.67736039,8.815195944,409,523,90,23,43,8,"760,645",11.45,72.5,"614,611",-0.240046667,-1.663089376,0.752809501
Wonosobo,"409,628","107,167","516,795",0.4,"400,612","389,892",33.50131005,1122.337775,98.2,76.5,44.66,93.51,72.07,63.29659349,16.13910319,14.75097987,5.813323451,343,460,106,16,30,4,"892,553",16.63,68.27,"679,098",-0.240046667,-1.663089376,0.761002094
Magelang,"600,718","230,502","831,220",0.38,"647,413","643,178",34.48216976,1189.020031,98.97,78.02,55.74,95.99,74.73,45.51403925,22.19360114,26.14029667,6.152062944,437,603,132,37,46,8,"887,835",10.67,69.87,"988,879",-0.240046667,-1.663089376,0.840567956
