iter	Passed	Remaining
483	692	738
484	694	737
485	695	735
486	696	734
487	698	732
488	699	731
489	701	729
490	702	728
491	704	726
492	705	725
493	707	724
494	708	723
495	709	721
496	711	720
497	713	718
498	714	717
499	715	715
500	717	714
501	737	731
502	740	732
503	743	732
504	747	732
505	750	732
506	752	732
507	755	731
508	757	730
509	759	729
510	760	728
511	762	726
512	764	725
513	766	724
514	767	722
515	769	721
516	770	720
517	772	718
518	773	716
519	774	715
520	776	713
521	777	711
522	778	710
523	780	708
524	781	707
525	782	705
526	784	704
527	785	702
528	787	700
529	788	699
530	789	697
531	790	695
532	792	694
533	793	692
534	794	690
535	796	689
536	797	687
537	798	686
538	800	684
539	801	682
540	802	680
541	803	679
542	805	677
543	806	675
544	807	674
545	808	672
546	810	671
547	811	669
548	813	667
549	814	666
550	815	664
551	817	663
552	818	661
553	820	660
554	821	658
555	823	657
556	824	655
557	825	653
558	826	652
559	827	650
560	829	649
561	830	647
562	831	645
563	833	644
564	834	642
565	836	641
566	837	639
567	839	638
568	840	636
569	841	635
570	843	633
571	844	631
572	845	630
573	846	628
574	848	627
575	849	625
576	851	623
577	852	622
578	853	620
579	855	619
580	856	617
581	857	616
582	859	614
583	860	613
584	862	611
585	864	610
586	865	608
587	866	607
588	868	606
589	869	604
590	871	602
591	872	601
592	874	599
593	875	598
594	876	596
595	878	595
596	879	593
597	880	592
598	883	591
599	885	590
600	886	588
601	888	587
602	890	586
603	891	584
604	893	583
605	895	581
606	896	580
607	897	578
608	899	577
609	900	575
610	902	574
611	903	572
612	904	571
613	906	569
614	907	568
615	908	566
616	910	565
617	911	563
618	913	562
619	914	560
620	915	559
621	917	557
622	918	555
623	919	554
624	921	552
625	922	551
626	923	549
627	924	547
628	926	546
629	927	544
630	929	543
631	930	541
632	931	540
633	933	538
634	934	537
635	936	535
636	937	534
637	938	532
638	940	531
639	941	529
640	942	528
641	944	526
642	945	525
643	947	523
644	948	522
645	949	520
646	951	518
647	952	517
648	953	515
649	955	514
650	957	513
651	959	511
652	960	510
653	961	508
654	963	507
655	964	505
656	966	504
657	967	502
658	968	501
659	970	499
660	971	498
661	973	496
662	974	495
663	975	493
664	977	492
665	978	490
666	980	489
667	981	487
668	983	486
669	985	485
670	986	483
671	988	482
672	990	481
673	991	479
674	993	478
675	994	476
676	996	475
677	998	473
678	999	472
679	1001	471
680	1002	469
681	1004	468
682	1006	467
683	1008	465
684	1009	464
685	1011	462
686	1012	461
687	1013	459
688	1015	458
689	1016	456
690	1017	455
691	1019	453
692	1020	452
693	1021	450
694	1023	449
695	1024	447
696	1025	445
697	1027	444
698	1028	442
699	1030	441
700	1031	439
701	1032	438
702	1034	436
703	1035	435
704	1037	433
705	1038	432
706	1039	430
707	1041	429
708	1042	428
709	1044	426
710	1045	425
711	1047	423
712	1048	422
713	1050	420
714	1051	419
715	1052	417
716	1054	416
717	1056	414
718	1057	413
